,ca_id,seed,noise,type,layer,value
0,455,0,0.1,ca_entropy,,4.161026555063328
1,455,0,0.1,ca_lmc,,0.6678429843053225
2,455,0,0.1,model_entropy,,8.79871466886758
3,455,0,0.1,layer_entropy,0.0,8.79856952502345
4,455,0,0.1,layer_entropy,1.0,8.79856952502345
5,455,0,0.1,layer_entropy,2.0,8.79856952502345
6,455,0,0.1,layer_entropy,3.0,8.79856952502345
7,455,0,0.1,layer_entropy,4.0,8.79856952502345
8,455,0,0.1,layer_entropy,5.0,8.79856952502345
9,455,0,0.1,layer_entropy,6.0,8.79871466886758
10,455,0,0.1,layer_entropy,7.0,8.79356952502345
11,455,0,0.1,layer_entropy,8.0,8.795125915645746
12,455,0,0.1,layer_entropy,9.0,8.772907868757224
13,455,0,0.1,layer_entropy,10.0,8.777295087512632
14,455,0,0.1,layer_entropy,11.0,8.733045086081114
15,455,0,0.1,neuron_entropy,0.0,0.7113368300358178
16,455,0,0.1,neuron_entropy,1.0,0.6173376642171265
17,455,0,0.1,neuron_entropy,2.0,0.6518262910739097
18,455,0,0.1,neuron_entropy,3.0,0.564223990401895
19,455,0,0.1,neuron_entropy,4.0,0.4544990278327554
20,455,0,0.1,neuron_entropy,5.0,0.30626084877359394
21,455,0,0.1,neuron_entropy,6.0,0.3411001229218893
22,455,0,0.1,neuron_entropy,7.0,0.33739686901510213
23,455,0,0.1,neuron_entropy,8.0,0.32667584578529885
24,455,0,0.1,neuron_entropy,9.0,0.276399170928466
25,455,0,0.1,neuron_entropy,10.0,0.27312080518996806
26,455,0,0.1,neuron_entropy,11.0,0.2451194504385732
27,455,0,0.1,model_lmc,,0.023233683010625318
28,455,0,0.1,layer_lmc,0.0,0.023233722652015048
29,455,0,0.1,layer_lmc,1.0,0.023233722652015048
30,455,0,0.1,layer_lmc,2.0,0.023233722652015048
31,455,0,0.1,layer_lmc,3.0,0.023233722652015048
32,455,0,0.1,layer_lmc,4.0,0.023233722652015048
33,455,0,0.1,layer_lmc,5.0,0.023233722652015048
34,455,0,0.1,layer_lmc,6.0,0.023233683010625318
35,455,0,0.1,layer_lmc,7.0,0.02327547933654644
36,455,0,0.1,layer_lmc,8.0,0.023279598907974833
37,455,0,0.1,layer_lmc,9.0,0.023549774560195174
38,455,0,0.1,layer_lmc,10.0,0.023479264359096294
39,455,0,0.1,layer_lmc,11.0,0.024848242346490176
40,455,0,0.1,neuron_lmc,0.0,0.08667106574432884
41,455,0,0.1,neuron_lmc,1.0,0.08249738453529717
42,455,0,0.1,neuron_lmc,2.0,0.06832543036142083
43,455,0,0.1,neuron_lmc,3.0,0.0743346524400394
44,455,0,0.1,neuron_lmc,4.0,0.05519942796440919
45,455,0,0.1,neuron_lmc,5.0,0.055238709148042096
46,455,0,0.1,neuron_lmc,6.0,0.04898344741220282
47,455,0,0.1,neuron_lmc,7.0,0.052323781798650444
48,455,0,0.1,neuron_lmc,8.0,0.04116950183819797
49,455,0,0.1,neuron_lmc,9.0,0.04332645450248222
50,455,0,0.1,neuron_lmc,10.0,0.04316676933232223
51,455,0,0.1,neuron_lmc,11.0,0.04323250144529967
52,455,0,0.1,losses,,"[0.589464606642723, 0.15681910991668702, 0.14162308365106582, 0.1323145604133606, 0.1248907670378685, 0.11893978357315063, 0.11389642119407654, 0.10951742842793465, 0.10576968029141426, 0.10249900788068772, 0.09977927759289741, 0.0976043252646923, 0.09590656906366349, 0.09452977016568184, 0.0933997355401516, 0.09255131870508194, 0.09191114634275437, 0.0914373141527176, 0.09105690956115722, 0.09078833624720574, 0.09058409437537193, 0.09043501242995262, 0.09034433007240296, 0.09027189195156098, 0.09021948501467705, 0.09018327653408051, 0.09015522733330726, 0.09012860178947449, 0.09011366531252861, 0.09011016085743905, 0.09010733842849732, 0.09011956170201302, 0.09011436834931373, 0.09008915022015572, 0.090090803951025, 0.09008944794535637, 0.09008590668439866, 0.09007542207837105, 0.09009685173630715, 0.09008637651801109, 0.09008056238293648, 0.09007195606827736, 0.0900801020860672, 0.09007318675518036, 0.09008339047431946, 0.09005211383104324, 0.09007679134607315, 0.0900758159160614, 0.09005803599953652, 0.09007293909788132, 0.09006868824362754, 0.09008030876517296, 0.09007878676056862, 0.09008255869150161, 0.0900945821404457, 0.0900981791317463, 0.09008301556110382, 0.09009358525276184, 0.09011004462838174, 0.09012615531682969]"
