,ca_id,seed,noise,type,layer,value
0,407,0,0.1,ca_entropy,,6.064909544013471
1,407,0,0.1,ca_lmc,,0.1653746544670421
2,407,0,0.1,model_entropy,,8.79856952502345
3,407,0,0.1,layer_entropy,0.0,8.79856952502345
4,407,0,0.1,layer_entropy,1.0,8.79856952502345
5,407,0,0.1,layer_entropy,2.0,8.79856952502345
6,407,0,0.1,layer_entropy,3.0,8.79856952502345
7,407,0,0.1,layer_entropy,4.0,8.79856952502345
8,407,0,0.1,layer_entropy,5.0,8.792625915645745
9,407,0,0.1,layer_entropy,6.0,8.79856952502345
10,407,0,0.1,layer_entropy,7.0,8.79356952502345
11,407,0,0.1,layer_entropy,8.0,8.790125915645746
12,407,0,0.1,layer_entropy,9.0,8.767783036919587
13,407,0,0.1,layer_entropy,10.0,8.79856952502345
14,407,0,0.1,layer_entropy,11.0,8.766146996748017
15,407,0,0.1,neuron_entropy,0.0,0.7142763955513226
16,407,0,0.1,neuron_entropy,1.0,0.6277859925517056
17,407,0,0.1,neuron_entropy,2.0,0.6533577440718412
18,407,0,0.1,neuron_entropy,3.0,0.5734454265870581
19,407,0,0.1,neuron_entropy,4.0,0.47019765577385186
20,407,0,0.1,neuron_entropy,5.0,0.3289926362431367
21,407,0,0.1,neuron_entropy,6.0,0.33954787690313554
22,407,0,0.1,neuron_entropy,7.0,0.341849836410276
23,407,0,0.1,neuron_entropy,8.0,0.3297436566515718
24,407,0,0.1,neuron_entropy,9.0,0.2846256903806607
25,407,0,0.1,neuron_entropy,10.0,0.3266971871493522
26,407,0,0.1,neuron_entropy,11.0,0.2956298772108185
27,407,0,0.1,model_lmc,,0.023233722652015048
28,407,0,0.1,layer_lmc,0.0,0.023233722652015048
29,407,0,0.1,layer_lmc,1.0,0.023233722652015048
30,407,0,0.1,layer_lmc,2.0,0.023233722652015048
31,407,0,0.1,layer_lmc,3.0,0.023233722652015048
32,407,0,0.1,layer_lmc,4.0,0.023233722652015048
33,407,0,0.1,layer_lmc,5.0,0.023300458676461227
34,407,0,0.1,layer_lmc,6.0,0.023233722652015048
35,407,0,0.1,layer_lmc,7.0,0.02327547933654645
36,407,0,0.1,layer_lmc,8.0,0.02332130281994762
37,407,0,0.1,layer_lmc,9.0,0.02367301419968289
38,407,0,0.1,layer_lmc,10.0,0.023233722652015048
39,407,0,0.1,layer_lmc,11.0,0.023928841880185604
40,407,0,0.1,neuron_lmc,0.0,0.08630357973640139
41,407,0,0.1,neuron_lmc,1.0,0.08132936863802871
42,407,0,0.1,neuron_lmc,2.0,0.06461004531286678
43,407,0,0.1,neuron_lmc,3.0,0.07555297207044552
44,407,0,0.1,neuron_lmc,4.0,0.05921430450802655
45,407,0,0.1,neuron_lmc,5.0,0.0583641673927827
46,407,0,0.1,neuron_lmc,6.0,0.05448689852448316
47,407,0,0.1,neuron_lmc,7.0,0.05692870891975086
48,407,0,0.1,neuron_lmc,8.0,0.03929756316473081
49,407,0,0.1,neuron_lmc,9.0,0.0499504451123008
50,407,0,0.1,neuron_lmc,10.0,0.04427942652869569
51,407,0,0.1,neuron_lmc,11.0,0.04871343266941132
52,407,0,0.1,losses,,"[0.5710683661699295, 0.1902157336473465, 0.16882675528526306, 0.154633868932724, 0.14319532692432405, 0.1333680886030197, 0.12495094180107116, 0.11786348342895508, 0.11186081871390342, 0.10688957795500756, 0.10289137810468674, 0.09980129554867745, 0.09748568445444107, 0.09575260445475578, 0.09445466995239257, 0.0934534315764904, 0.09273376032710075, 0.09215097859501839, 0.0917395779490471, 0.09143247693777085, 0.09122058302164078, 0.09103653192520142, 0.09093314334750176, 0.09084452033042907, 0.09077689990401268, 0.09070570588111877, 0.09067337274551392, 0.09064546138048173, 0.09061279699206352, 0.09057324320077896, 0.09055700555443763, 0.09054313942790032, 0.09052377372980118, 0.09051966086030007, 0.09050573706626892, 0.09048781454563141, 0.0904969485104084, 0.09047561645507812, 0.09048434689641, 0.09047510296106338, 0.09048936575651169, 0.09049442678689956, 0.09047740146517753, 0.09051896214485168, 0.09049807459115983, 0.09055043309926987, 0.09053324565291404, 0.09054732322692871, 0.09053819566965103, 0.0905547320842743, 0.09055068910121918, 0.09051874160766601, 0.0905140307545662, 0.09048280954360961, 0.09051242455840111, 0.09049955323338509, 0.0905008690059185, 0.09050024315714836, 0.09051479279994964, 0.09054364249110222]"
