,ca_id,seed,noise,type,layer,value
0,471,0,0.1,ca_entropy,,3.236292949453619
1,471,0,0.1,ca_lmc,,0.8129744083687581
2,471,0,0.1,model_entropy,,8.79856952502345
3,471,0,0.1,layer_entropy,0.0,8.79856952502345
4,471,0,0.1,layer_entropy,1.0,8.79856952502345
5,471,0,0.1,layer_entropy,2.0,8.79856952502345
6,471,0,0.1,layer_entropy,3.0,8.79856952502345
7,471,0,0.1,layer_entropy,4.0,8.796069525023448
8,471,0,0.1,layer_entropy,5.0,8.792625915645745
9,471,0,0.1,layer_entropy,6.0,8.795125915645746
10,471,0,0.1,layer_entropy,7.0,8.787501083808108
11,471,0,0.1,layer_entropy,8.0,8.79856952502345
12,471,0,0.1,layer_entropy,9.0,8.79606952502345
13,471,0,0.1,layer_entropy,10.0,8.775371605325885
14,471,0,0.1,layer_entropy,11.0,8.779270874674339
15,471,0,0.1,neuron_entropy,0.0,0.709853767326559
16,471,0,0.1,neuron_entropy,1.0,0.6270508024367725
17,471,0,0.1,neuron_entropy,2.0,0.642610989127465
18,471,0,0.1,neuron_entropy,3.0,0.5556851165587112
19,471,0,0.1,neuron_entropy,4.0,0.45701109782273974
20,471,0,0.1,neuron_entropy,5.0,0.31526725683637535
21,471,0,0.1,neuron_entropy,6.0,0.34026851413236436
22,471,0,0.1,neuron_entropy,7.0,0.32461419523137863
23,471,0,0.1,neuron_entropy,8.0,0.32343691790149365
24,471,0,0.1,neuron_entropy,9.0,0.284879631776246
25,471,0,0.1,neuron_entropy,10.0,0.28977872283874834
26,471,0,0.1,neuron_entropy,11.0,0.2690760108241898
27,471,0,0.1,model_lmc,,0.023233722652015048
28,471,0,0.1,layer_lmc,0.0,0.023233722652015048
29,471,0,0.1,layer_lmc,1.0,0.023233722652015048
30,471,0,0.1,layer_lmc,2.0,0.023233722652015048
31,471,0,0.1,layer_lmc,3.0,0.023233722652015048
32,471,0,0.1,layer_lmc,4.0,0.023254608806780742
33,471,0,0.1,layer_lmc,5.0,0.023300458676461223
34,471,0,0.1,layer_lmc,6.0,0.023279598907974833
35,471,0,0.1,layer_lmc,7.0,0.023424182576525992
36,471,0,0.1,layer_lmc,8.0,0.023233722652015048
37,471,0,0.1,layer_lmc,9.0,0.023254608806780746
38,471,0,0.1,layer_lmc,10.0,0.023624945743713276
39,471,0,0.1,layer_lmc,11.0,0.02355313764346225
40,471,0,0.1,neuron_lmc,0.0,0.08733705418543197
41,471,0,0.1,neuron_lmc,1.0,0.08058916973301564
42,471,0,0.1,neuron_lmc,2.0,0.06493906899397389
43,471,0,0.1,neuron_lmc,3.0,0.07889900375487789
44,471,0,0.1,neuron_lmc,4.0,0.05873047293326917
45,471,0,0.1,neuron_lmc,5.0,0.052607224167242485
46,471,0,0.1,neuron_lmc,6.0,0.0532378667679406
47,471,0,0.1,neuron_lmc,7.0,0.057693268605365
48,471,0,0.1,neuron_lmc,8.0,0.04068771482915838
49,471,0,0.1,neuron_lmc,9.0,0.0436005632831122
50,471,0,0.1,neuron_lmc,10.0,0.046800355743475984
51,471,0,0.1,neuron_lmc,11.0,0.04381668130412277
52,471,0,0.1,losses,,"[0.5743768802285194, 0.14498093068599702, 0.131097179800272, 0.12391284197568893, 0.11855012387037277, 0.11427360400557518, 0.11051603808999061, 0.10713923156261444, 0.10423852041363717, 0.1017224608361721, 0.09958506733179093, 0.09773511946201324, 0.09611665308475495, 0.09477184668183326, 0.09366301089525222, 0.09281978309154511, 0.09217162311077118, 0.0916383883357048, 0.09122714400291443, 0.09092633023858071, 0.09068355813622475, 0.09051704198122025, 0.0904156233370304, 0.09029500484466553, 0.09022864311933518, 0.09017101302742958, 0.09011991769075393, 0.09009723871946335, 0.09006338506937027, 0.09005025714635849, 0.09002810999751092, 0.09002160370349883, 0.09002263233065605, 0.09000963047146797, 0.0900096908211708, 0.08999912679195404, 0.09001205444335937, 0.09001476898789405, 0.09000963792204857, 0.0900049152970314, 0.09004410862922668, 0.09004011541604996, 0.09004164442420005, 0.0900261026620865, 0.090024925917387, 0.09001995906233788, 0.09003611534833908, 0.09003339365124702, 0.09002646416425705, 0.09003433719277382, 0.0900134527683258, 0.09003107532858849, 0.0900505967438221, 0.09005847811698914, 0.09008232966065406, 0.09008703142404556, 0.0900797413289547, 0.09007158234715462, 0.09008121684193611, 0.09007384434342385]"
