,ca_id,seed,noise,type,layer,value
0,351,0,0.05,ca_entropy,,7.344810925979274
1,351,0,0.05,ca_lmc,,0.045445569312814266
2,351,0,0.05,model_entropy,,8.799248980577447
3,351,0,0.05,layer_entropy,0.0,8.79856952502345
4,351,0,0.05,layer_entropy,1.0,8.799248980577447
5,351,0,0.05,layer_entropy,2.0,8.79856952502345
6,351,0,0.05,layer_entropy,3.0,8.79856952502345
7,351,0,0.05,layer_entropy,4.0,8.79856952502345
8,351,0,0.05,layer_entropy,5.0,8.786124501051615
9,351,0,0.05,layer_entropy,6.0,8.79856952502345
10,351,0,0.05,layer_entropy,7.0,8.78706811042932
11,351,0,0.05,layer_entropy,8.0,8.790827265296633
12,351,0,0.05,layer_entropy,9.0,8.778327265296634
13,351,0,0.05,layer_entropy,10.0,8.792625915645745
14,351,0,0.05,layer_entropy,11.0,8.756485867702077
15,351,0,0.05,neuron_entropy,0.0,0.7137043238463869
16,351,0,0.05,neuron_entropy,1.0,0.634507717024324
17,351,0,0.05,neuron_entropy,2.0,0.6498531515974519
18,351,0,0.05,neuron_entropy,3.0,0.5758189117495193
19,351,0,0.05,neuron_entropy,4.0,0.46011571689207115
20,351,0,0.05,neuron_entropy,5.0,0.32145325563594446
21,351,0,0.05,neuron_entropy,6.0,0.34623452893544465
22,351,0,0.05,neuron_entropy,7.0,0.3373851908501006
23,351,0,0.05,neuron_entropy,8.0,0.3355958148924651
24,351,0,0.05,neuron_entropy,9.0,0.29552984352352957
25,351,0,0.05,neuron_entropy,10.0,0.32301642658564106
26,351,0,0.05,neuron_entropy,11.0,0.2977787963943643
27,351,0,0.05,model_lmc,,0.023232509283533417
28,351,0,0.05,layer_lmc,0.0,0.023233722652015048
29,351,0,0.05,layer_lmc,1.0,0.023232509283533417
30,351,0,0.05,layer_lmc,2.0,0.023233722652015048
31,351,0,0.05,layer_lmc,3.0,0.023233722652015048
32,351,0,0.05,layer_lmc,4.0,0.023233722652015048
33,351,0,0.05,layer_lmc,5.0,0.02347542640124729
34,351,0,0.05,layer_lmc,6.0,0.023233722652015048
35,351,0,0.05,layer_lmc,7.0,0.023450488019708244
36,351,0,0.05,layer_lmc,8.0,0.02336437059104621
37,351,0,0.05,layer_lmc,9.0,0.023523173843724574
38,351,0,0.05,layer_lmc,10.0,0.023300458676461227
39,351,0,0.05,layer_lmc,11.0,0.024114541159101426
40,351,0,0.05,neuron_lmc,0.0,0.08604042902449612
41,351,0,0.05,neuron_lmc,1.0,0.08397000552354328
42,351,0,0.05,neuron_lmc,2.0,0.06737042240171397
43,351,0,0.05,neuron_lmc,3.0,0.07528646533624139
44,351,0,0.05,neuron_lmc,4.0,0.058293748111447316
45,351,0,0.05,neuron_lmc,5.0,0.058650324010989595
46,351,0,0.05,neuron_lmc,6.0,0.053913901394928715
47,351,0,0.05,neuron_lmc,7.0,0.05625998346134959
48,351,0,0.05,neuron_lmc,8.0,0.04228744050800077
49,351,0,0.05,neuron_lmc,9.0,0.050860651441007994
50,351,0,0.05,neuron_lmc,10.0,0.04843442224800443
51,351,0,0.05,neuron_lmc,11.0,0.04925884063092483
52,351,0,0.05,losses,,"[0.5742589482665061, 0.20957268118858338, 0.18209567070007324, 0.15845585584640504, 0.13547737792134285, 0.11412896171212196, 0.09589098542928695, 0.08110547870397568, 0.06973808810114861, 0.061942021250724795, 0.0569614090025425, 0.0539248663187027, 0.051954780369997025, 0.050689365863800045, 0.04992082692682743, 0.04939120516180992, 0.049068806879222396, 0.048828162103891376, 0.048673266097903255, 0.04858292110264301, 0.04852331805974245, 0.04848032612353563, 0.048465612679719924, 0.048431403040885924, 0.04841639492660761, 0.0484166057780385, 0.0484131321310997, 0.04841934904456138, 0.04839530415832996, 0.04842535503208637, 0.048432822711765765, 0.04843396995216608, 0.04844051480293274, 0.048454023636877536, 0.04846111249178648, 0.04844996806234121, 0.048483826667070386, 0.04848945450037718, 0.048482990004122255, 0.04850117512047291, 0.04851205162703991, 0.04849737007170916, 0.048484879359602925, 0.04849482014775276, 0.048509378433227536, 0.04852402001619339, 0.04853738330304622, 0.04854152601212263, 0.04855753891170025, 0.04853477086871862, 0.04854933112859726, 0.048540420159697534, 0.048542639538645745, 0.048551677130162715, 0.04854759462177753, 0.048543808311223985, 0.04856020901352167, 0.04855651736259461, 0.04854796782135964, 0.04855631586164236]"
