,ca_id,seed,noise,type,layer,value
0,4,0,0.05,ca_entropy,,0.6505187800985665
1,4,0,0.05,ca_lmc,,0.5542849609296272
2,4,0,0.05,model_entropy,,8.79856952502345
3,4,0,0.05,layer_entropy,0.0,8.79856952502345
4,4,0,0.05,layer_entropy,1.0,8.79856952502345
5,4,0,0.05,layer_entropy,2.0,8.79606952502345
6,4,0,0.05,layer_entropy,3.0,8.79856952502345
7,4,0,0.05,layer_entropy,4.0,8.795125915645746
8,4,0,0.05,layer_entropy,5.0,8.786528614947525
9,4,0,0.05,layer_entropy,6.0,8.773327265296635
10,4,0,0.05,layer_entropy,7.0,8.78418230626804
11,4,0,0.05,layer_entropy,8.0,8.774795087512633
12,4,0,0.05,layer_entropy,9.0,8.777295087512632
13,4,0,0.05,layer_entropy,10.0,8.753532372747852
14,4,0,0.05,layer_entropy,11.0,8.709764925087825
15,4,0,0.05,neuron_entropy,0.0,0.7103529374271932
16,4,0,0.05,neuron_entropy,1.0,0.6259592241895815
17,4,0,0.05,neuron_entropy,2.0,0.6319390933707688
18,4,0,0.05,neuron_entropy,3.0,0.54547338781177
19,4,0,0.05,neuron_entropy,4.0,0.434405622999206
20,4,0,0.05,neuron_entropy,5.0,0.28577049068856375
21,4,0,0.05,neuron_entropy,6.0,0.31826091976334403
22,4,0,0.05,neuron_entropy,7.0,0.3097460632706015
23,4,0,0.05,neuron_entropy,8.0,0.2765980631561327
24,4,0,0.05,neuron_entropy,9.0,0.27467008822677164
25,4,0,0.05,neuron_entropy,10.0,0.27697607606548763
26,4,0,0.05,neuron_entropy,11.0,0.23698382732717474
27,4,0,0.05,model_lmc,,0.023233722652015048
28,4,0,0.05,layer_lmc,0.0,0.023233722652015048
29,4,0,0.05,layer_lmc,1.0,0.023233722652015048
30,4,0,0.05,layer_lmc,2.0,0.023254608806780746
31,4,0,0.05,layer_lmc,3.0,0.023233722652015048
32,4,0,0.05,layer_lmc,4.0,0.02327959890797484
33,4,0,0.05,layer_lmc,5.0,0.023449048241141208
34,4,0,0.05,layer_lmc,6.0,0.023619441997040785
35,4,0,0.05,layer_lmc,7.0,0.023387885390438654
36,4,0,0.05,layer_lmc,8.0,0.023664525501635635
37,4,0,0.05,layer_lmc,9.0,0.023479264359096294
38,4,0,0.05,layer_lmc,10.0,0.024332084517372544
39,4,0,0.05,layer_lmc,11.0,0.024618694921068555
40,4,0,0.05,neuron_lmc,0.0,0.08635248899138209
41,4,0,0.05,neuron_lmc,1.0,0.07737355054283601
42,4,0,0.05,neuron_lmc,2.0,0.0706422981951706
43,4,0,0.05,neuron_lmc,3.0,0.07325014998578194
44,4,0,0.05,neuron_lmc,4.0,0.057466290691621236
45,4,0,0.05,neuron_lmc,5.0,0.05039087700981362
46,4,0,0.05,neuron_lmc,6.0,0.05297999586009337
47,4,0,0.05,neuron_lmc,7.0,0.054826136558265376
48,4,0,0.05,neuron_lmc,8.0,0.04591900755859734
49,4,0,0.05,neuron_lmc,9.0,0.04937460357164851
50,4,0,0.05,neuron_lmc,10.0,0.034471021887221724
51,4,0,0.05,neuron_lmc,11.0,0.04057380347192708
52,4,0,0.05,losses,,"[0.2348136705160141, 0.06143072202801705, 0.056759650632739064, 0.054757004231214525, 0.05354819193482399, 0.05269401550292969, 0.05203146889805794, 0.0514863533526659, 0.05101806186139583, 0.050605868175625804, 0.050210626348853114, 0.04981111638247967, 0.049472604244947434, 0.04918310880661011, 0.04893362544476986, 0.048727228567004205, 0.04853572770953178, 0.04837435938417912, 0.048247323632240297, 0.048135201036930086, 0.04804820142686367, 0.04797075301408768, 0.04790013149380684, 0.047846436649560925, 0.047792507857084277, 0.04775009624660015, 0.04771734781563282, 0.04767809860408306, 0.047641572132706644, 0.04762435585260391, 0.04761581175029278, 0.04759221687912941, 0.04755645237863064, 0.047544827088713645, 0.047535081431269645, 0.04753187298774719, 0.04751791939139366, 0.04751407079398632, 0.04750567302107811, 0.04750037170946598, 0.04750450968742371, 0.04749381110072136, 0.04748122088611126, 0.04748484402894974, 0.047490115240216256, 0.04748955331742764, 0.04748695559799671, 0.04748237423598766, 0.04749819926917553, 0.04750895254313946, 0.0475148481875658, 0.04752201944589615, 0.04752035215497017, 0.0475225730240345, 0.04753757953643799, 0.047529674768447876, 0.04752687685191631, 0.04753006525337696, 0.047534325569868086, 0.047561239004135135]"
