,ca_id,seed,noise,type,layer,value
0,128,0,0.1,ca_entropy,,6.780460944226564
1,128,0,0.1,ca_lmc,,0.09673661778033199
2,128,0,0.1,model_entropy,,8.79856952502345
3,128,0,0.1,layer_entropy,0.0,8.79856952502345
4,128,0,0.1,layer_entropy,1.0,8.79856952502345
5,128,0,0.1,layer_entropy,2.0,8.79856952502345
6,128,0,0.1,layer_entropy,3.0,8.79856952502345
7,128,0,0.1,layer_entropy,4.0,8.79856952502345
8,128,0,0.1,layer_entropy,5.0,8.791069525023449
9,128,0,0.1,layer_entropy,6.0,8.792625915645745
10,128,0,0.1,layer_entropy,7.0,8.78706811042932
11,128,0,0.1,layer_entropy,8.0,8.742451972776182
12,128,0,0.1,layer_entropy,9.0,8.76591850475614
13,128,0,0.1,layer_entropy,10.0,8.786124501051615
14,128,0,0.1,layer_entropy,11.0,8.76988365591893
15,128,0,0.1,neuron_entropy,0.0,0.7160061154925631
16,128,0,0.1,neuron_entropy,1.0,0.6362315444614463
17,128,0,0.1,neuron_entropy,2.0,0.6339496880401898
18,128,0,0.1,neuron_entropy,3.0,0.580336505068013
19,128,0,0.1,neuron_entropy,4.0,0.45792328666723564
20,128,0,0.1,neuron_entropy,5.0,0.31369731721251937
21,128,0,0.1,neuron_entropy,6.0,0.3507236096263434
22,128,0,0.1,neuron_entropy,7.0,0.3280809659032959
23,128,0,0.1,neuron_entropy,8.0,0.3044020518121728
24,128,0,0.1,neuron_entropy,9.0,0.30690956874349556
25,128,0,0.1,neuron_entropy,10.0,0.3295519571246191
26,128,0,0.1,neuron_entropy,11.0,0.30353545137003407
27,128,0,0.1,model_lmc,,0.023233722652015048
28,128,0,0.1,layer_lmc,0.0,0.023233722652015048
29,128,0,0.1,layer_lmc,1.0,0.023233722652015048
30,128,0,0.1,layer_lmc,2.0,0.023233722652015048
31,128,0,0.1,layer_lmc,3.0,0.023233722652015048
32,128,0,0.1,layer_lmc,4.0,0.023233722652015048
33,128,0,0.1,layer_lmc,5.0,0.023296334241312142
34,128,0,0.1,layer_lmc,6.0,0.023300458676461227
35,128,0,0.1,layer_lmc,7.0,0.02345048801970825
36,128,0,0.1,layer_lmc,8.0,0.024499355645584506
37,128,0,0.1,layer_lmc,9.0,0.023777553944151035
38,128,0,0.1,layer_lmc,10.0,0.02347542640124729
39,128,0,0.1,layer_lmc,11.0,0.023610171154919247
40,128,0,0.1,neuron_lmc,0.0,0.08609623741970501
41,128,0,0.1,neuron_lmc,1.0,0.07956434445021598
42,128,0,0.1,neuron_lmc,2.0,0.06974436591952142
43,128,0,0.1,neuron_lmc,3.0,0.07539067469910372
44,128,0,0.1,neuron_lmc,4.0,0.06080214615163314
45,128,0,0.1,neuron_lmc,5.0,0.05505499008053307
46,128,0,0.1,neuron_lmc,6.0,0.05652119232628491
47,128,0,0.1,neuron_lmc,7.0,0.06565413195579088
48,128,0,0.1,neuron_lmc,8.0,0.03965417152896626
49,128,0,0.1,neuron_lmc,9.0,0.05816537860746693
50,128,0,0.1,neuron_lmc,10.0,0.045520797526894016
51,128,0,0.1,neuron_lmc,11.0,0.04996410536248942
52,128,0,0.1,losses,,"[0.44440369814634323, 0.19745319277048112, 0.18056976974010466, 0.16754225760698319, 0.15577659279108047, 0.14488090127706527, 0.1348625671863556, 0.12583867937326432, 0.11793486818671227, 0.11092491716146469, 0.10516466051340104, 0.10073074445128441, 0.09740798935294151, 0.09513436362147332, 0.09362285673618316, 0.09263616994023323, 0.09196262329816818, 0.09155002072453498, 0.09129431426525116, 0.09110598489642144, 0.09098611444234848, 0.09094510495662689, 0.09085556641221046, 0.09080266818404198, 0.09080012023448944, 0.09076578199863433, 0.09075376152992248, 0.0907723893225193, 0.09077598810195923, 0.09075213313102722, 0.09074056908488273, 0.09073880836367607, 0.09074241921305656, 0.09076051592826843, 0.0907631467282772, 0.09074959874153138, 0.0907685986161232, 0.09076899707317353, 0.09072215870022773, 0.09071086406707764, 0.09072067752480507, 0.09069979816675186, 0.09072483345866203, 0.09071890413761138, 0.09071759641170501, 0.09071718499064446, 0.09074712797999382, 0.09072756245732308, 0.09070344671607017, 0.09071053430438042, 0.09071560829877853, 0.0907210375368595, 0.09070341363549232, 0.09071370080113411, 0.09072412326931953, 0.09071896195411683, 0.09070938482880592, 0.09071064099669457, 0.09068175911903381, 0.09069060668349266]"
