,ca_id,seed,noise,type,layer,value
0,160,0,0.01,ca_entropy,,7.405232867022678
1,160,0,0.01,ca_lmc,,0.04751434967930658
2,160,0,0.01,model_entropy,,8.79856952502345
3,160,0,0.01,layer_entropy,0.0,8.79856952502345
4,160,0,0.01,layer_entropy,1.0,8.79856952502345
5,160,0,0.01,layer_entropy,2.0,8.79856952502345
6,160,0,0.01,layer_entropy,3.0,8.79856952502345
7,160,0,0.01,layer_entropy,4.0,8.79856952502345
8,160,0,0.01,layer_entropy,5.0,8.795125915645746
9,160,0,0.01,layer_entropy,6.0,8.78856952502345
10,160,0,0.01,layer_entropy,7.0,8.791017220048492
11,160,0,0.01,layer_entropy,8.0,8.77168230626804
12,160,0,0.01,layer_entropy,9.0,8.788327265296635
13,160,0,0.01,layer_entropy,10.0,8.786770874674339
14,160,0,0.01,layer_entropy,11.0,8.781528614947522
15,160,0,0.01,neuron_entropy,0.0,0.7145618584847593
16,160,0,0.01,neuron_entropy,1.0,0.6355415656400809
17,160,0,0.01,neuron_entropy,2.0,0.6353608869716881
18,160,0,0.01,neuron_entropy,3.0,0.5824956089899694
19,160,0,0.01,neuron_entropy,4.0,0.45211621594595136
20,160,0,0.01,neuron_entropy,5.0,0.32529935636070256
21,160,0,0.01,neuron_entropy,6.0,0.3470908393290819
22,160,0,0.01,neuron_entropy,7.0,0.34358693541247803
23,160,0,0.01,neuron_entropy,8.0,0.3145609776973529
24,160,0,0.01,neuron_entropy,9.0,0.32099749813225514
25,160,0,0.01,neuron_entropy,10.0,0.3396306470981063
26,160,0,0.01,neuron_entropy,11.0,0.34192180004563233
27,160,0,0.01,model_lmc,,0.023233722652015048
28,160,0,0.01,layer_lmc,0.0,0.023233722652015048
29,160,0,0.01,layer_lmc,1.0,0.023233722652015048
30,160,0,0.01,layer_lmc,2.0,0.023233722652015048
31,160,0,0.01,layer_lmc,3.0,0.023233722652015048
32,160,0,0.01,layer_lmc,4.0,0.023233722652015048
33,160,0,0.01,layer_lmc,5.0,0.02327959890797483
34,160,0,0.01,layer_lmc,6.0,0.023372102080609237
35,160,0,0.01,layer_lmc,7.0,0.023488499134817067
36,160,0,0.01,layer_lmc,8.0,0.023546484690888273
37,160,0,0.01,layer_lmc,9.0,0.02338518958250026
38,160,0,0.01,layer_lmc,10.0,0.023381048124328743
39,160,0,0.01,layer_lmc,11.0,0.023682684983436602
40,160,0,0.01,neuron_lmc,0.0,0.08582774244808662
41,160,0,0.01,neuron_lmc,1.0,0.0793732157925028
42,160,0,0.01,neuron_lmc,2.0,0.07095814051825144
43,160,0,0.01,neuron_lmc,3.0,0.07423473143038532
44,160,0,0.01,neuron_lmc,4.0,0.06144801952741791
45,160,0,0.01,neuron_lmc,5.0,0.06094353329260455
46,160,0,0.01,neuron_lmc,6.0,0.05473009268619248
47,160,0,0.01,neuron_lmc,7.0,0.06584079866069689
48,160,0,0.01,neuron_lmc,8.0,0.03943602429268088
49,160,0,0.01,neuron_lmc,9.0,0.05465956041637225
50,160,0,0.01,neuron_lmc,10.0,0.042799975695317814
51,160,0,0.01,neuron_lmc,11.0,0.051672337377984844
52,160,0,0.01,losses,,"[0.44507801085710524, 0.19512150526046754, 0.16625263035297394, 0.1380816502869129, 0.10915992334485054, 0.07972255393862725, 0.05433571562170982, 0.03481424983590841, 0.02255344672128558, 0.015845893025398253, 0.012711157267913222, 0.011330074826255442, 0.010710289455018937, 0.010436319597065449, 0.01031078322790563, 0.01025189673062414, 0.010223474651575089, 0.010215838239528239, 0.010216020471416414, 0.010220425333827735, 0.01022974008694291, 0.01023990253917873, 0.010246232296340167, 0.010252228435128928, 0.010261755627579987, 0.010265701464377344, 0.010268859025090933, 0.010267621572129428, 0.010269898949190974, 0.010278917979449034, 0.010287667103111743, 0.010290714935399592, 0.01030012387316674, 0.01031176227144897, 0.010320138125680388, 0.010320574343204499, 0.01033922485075891, 0.01033605652861297, 0.010339661468751728, 0.010340675739571452, 0.010351198092103005, 0.01035184065811336, 0.010359361390583218, 0.010361046087928117, 0.01037587563507259, 0.01038036578334868, 0.010382144902832806, 0.010383671168237924, 0.010386239998042583, 0.010399907669052482, 0.010398054383695126, 0.01040443061850965, 0.010409199791029096, 0.010401236265897751, 0.010412145857699215, 0.010413344455882908, 0.010415447098203003, 0.010422436743974686, 0.010426394613459707, 0.010428523723967374]"
