,ca_id,seed,noise,type,layer,value
0,104,0,0.1,ca_entropy,,6.1518584759766
1,104,0,0.1,ca_lmc,,0.1881622362532821
2,104,0,0.1,model_entropy,,8.79856952502345
3,104,0,0.1,layer_entropy,0.0,8.79856952502345
4,104,0,0.1,layer_entropy,1.0,8.79856952502345
5,104,0,0.1,layer_entropy,2.0,8.79856952502345
6,104,0,0.1,layer_entropy,3.0,8.79856952502345
7,104,0,0.1,layer_entropy,4.0,8.79856952502345
8,104,0,0.1,layer_entropy,5.0,8.795125915645745
9,104,0,0.1,layer_entropy,6.0,8.794270874674337
10,104,0,0.1,layer_entropy,7.0,8.790827265296633
11,104,0,0.1,layer_entropy,8.0,8.74167558933531
12,104,0,0.1,layer_entropy,9.0,8.7731138650527
13,104,0,0.1,layer_entropy,10.0,8.763149136465298
14,104,0,0.1,layer_entropy,11.0,8.76119778681441
15,104,0,0.1,neuron_entropy,0.0,0.713622322273309
16,104,0,0.1,neuron_entropy,1.0,0.6363737106876287
17,104,0,0.1,neuron_entropy,2.0,0.6329018400340359
18,104,0,0.1,neuron_entropy,3.0,0.5702338795289748
19,104,0,0.1,neuron_entropy,4.0,0.4572846466627036
20,104,0,0.1,neuron_entropy,5.0,0.31197640333802384
21,104,0,0.1,neuron_entropy,6.0,0.3493642841376539
22,104,0,0.1,neuron_entropy,7.0,0.33624585893155257
23,104,0,0.1,neuron_entropy,8.0,0.2882314724228146
24,104,0,0.1,neuron_entropy,9.0,0.27944489820409546
25,104,0,0.1,neuron_entropy,10.0,0.32941845491842997
26,104,0,0.1,neuron_entropy,11.0,0.31278503484958003
27,104,0,0.1,model_lmc,,0.023233722652015048
28,104,0,0.1,layer_lmc,0.0,0.023233722652015048
29,104,0,0.1,layer_lmc,1.0,0.023233722652015048
30,104,0,0.1,layer_lmc,2.0,0.023233722652015048
31,104,0,0.1,layer_lmc,3.0,0.023233722652015048
32,104,0,0.1,layer_lmc,4.0,0.023233722652015048
33,104,0,0.1,layer_lmc,5.0,0.023279598907974833
34,104,0,0.1,layer_lmc,6.0,0.023318558866128675
35,104,0,0.1,layer_lmc,7.0,0.02336437059104621
36,104,0,0.1,layer_lmc,8.0,0.024463032782030533
37,104,0,0.1,layer_lmc,9.0,0.02363257547398571
38,104,0,0.1,layer_lmc,10.0,0.024173968438171073
39,104,0,0.1,layer_lmc,11.0,0.02387426396906927
40,104,0,0.1,neuron_lmc,0.0,0.08565704229299229
41,104,0,0.1,neuron_lmc,1.0,0.08110732667754507
42,104,0,0.1,neuron_lmc,2.0,0.06961378211391386
43,104,0,0.1,neuron_lmc,3.0,0.07775056032139385
44,104,0,0.1,neuron_lmc,4.0,0.061395895499193116
45,104,0,0.1,neuron_lmc,5.0,0.05750724584764146
46,104,0,0.1,neuron_lmc,6.0,0.053048145678588024
47,104,0,0.1,neuron_lmc,7.0,0.06258586191882665
48,104,0,0.1,neuron_lmc,8.0,0.041891498202136945
49,104,0,0.1,neuron_lmc,9.0,0.054386657048710096
50,104,0,0.1,neuron_lmc,10.0,0.04475744271754307
51,104,0,0.1,neuron_lmc,11.0,0.045746765111497716
52,104,0,0.1,losses,,"[0.42328224271535875, 0.18508207827806472, 0.17011539667844772, 0.15907026559114457, 0.14923541218042374, 0.14041417151689528, 0.13196918934583665, 0.12362993746995926, 0.11573944687843322, 0.10890266358852387, 0.10340873345732689, 0.09945947289466858, 0.0966180218756199, 0.09459376007318497, 0.0932734563946724, 0.09244336903095246, 0.09185372546315193, 0.09145982936024666, 0.09121511816978455, 0.09103859111666679, 0.09090403690934182, 0.0908455491065979, 0.09080096140503884, 0.09072784170508384, 0.0906779807806015, 0.09064322412014007, 0.09064580783247948, 0.09064123645424843, 0.09063149586319924, 0.09061725839972495, 0.09064997375011444, 0.09065391942858696, 0.09067020684480667, 0.09065988525748253, 0.09066063731908798, 0.09064608424901963, 0.09064624592661857, 0.09063918426632882, 0.09065198957920075, 0.09061436966061592, 0.09063443049788475, 0.09062714263796806, 0.09062771007418632, 0.09061994686722756, 0.09065869465470314, 0.0906423768401146, 0.09067161574959755, 0.09068246334791183, 0.09070230692625046, 0.09071838736534119, 0.09071125313639641, 0.09070866271853446, 0.09074224352836609, 0.09070728108286857, 0.09073243454098702, 0.09072673633694649, 0.09071761310100555, 0.09072978630661964, 0.09071089491248131, 0.09067369759082794]"
