,ca_id,seed,noise,type,layer,value
0,507,0,0.01,ca_entropy,,0.5257682664407954
1,507,0,0.01,ca_lmc,,0.4651014629919231
2,507,0,0.01,model_entropy,,8.79856952502345
3,507,0,0.01,layer_entropy,0.0,8.79856952502345
4,507,0,0.01,layer_entropy,1.0,8.79856952502345
5,507,0,0.01,layer_entropy,2.0,8.79856952502345
6,507,0,0.01,layer_entropy,3.0,8.79856952502345
7,507,0,0.01,layer_entropy,4.0,8.79856952502345
8,507,0,0.01,layer_entropy,5.0,8.790125915645746
9,507,0,0.01,layer_entropy,6.0,8.778786355220708
10,507,0,0.01,layer_entropy,7.0,8.777295087512632
11,507,0,0.01,layer_entropy,8.0,8.79206811042932
12,507,0,0.01,layer_entropy,9.0,8.780738696890337
13,507,0,0.01,layer_entropy,10.0,8.77488365591893
14,507,0,0.01,layer_entropy,11.0,8.682734090013566
15,507,0,0.01,neuron_entropy,0.0,0.7085466925131603
16,507,0,0.01,neuron_entropy,1.0,0.6176558967548997
17,507,0,0.01,neuron_entropy,2.0,0.6362378767092365
18,507,0,0.01,neuron_entropy,3.0,0.550040089537513
19,507,0,0.01,neuron_entropy,4.0,0.4436321712877946
20,507,0,0.01,neuron_entropy,5.0,0.30502502915477786
21,507,0,0.01,neuron_entropy,6.0,0.3294016540151712
22,507,0,0.01,neuron_entropy,7.0,0.31597908951790005
23,507,0,0.01,neuron_entropy,8.0,0.30932142443494487
24,507,0,0.01,neuron_entropy,9.0,0.2772248163726061
25,507,0,0.01,neuron_entropy,10.0,0.26528972499323183
26,507,0,0.01,neuron_entropy,11.0,0.24493742009524347
27,507,0,0.01,model_lmc,,0.023233722652015048
28,507,0,0.01,layer_lmc,0.0,0.023233722652015048
29,507,0,0.01,layer_lmc,1.0,0.023233722652015048
30,507,0,0.01,layer_lmc,2.0,0.023233722652015048
31,507,0,0.01,layer_lmc,3.0,0.023233722652015048
32,507,0,0.01,layer_lmc,4.0,0.023233722652015048
33,507,0,0.01,layer_lmc,5.0,0.02332130281994762
34,507,0,0.01,layer_lmc,6.0,0.023579271475975626
35,507,0,0.01,layer_lmc,7.0,0.023479264359096294
36,507,0,0.01,layer_lmc,8.0,0.023408881344018067
37,507,0,0.01,layer_lmc,9.0,0.023433596397326086
38,507,0,0.01,layer_lmc,10.0,0.023568789069569756
39,507,0,0.01,layer_lmc,11.0,0.025369863669258388
40,507,0,0.01,neuron_lmc,0.0,0.08726804996582499
41,507,0,0.01,neuron_lmc,1.0,0.08103780894981584
42,507,0,0.01,neuron_lmc,2.0,0.06671315308727656
43,507,0,0.01,neuron_lmc,3.0,0.0804299214325844
44,507,0,0.01,neuron_lmc,4.0,0.05349188135075294
45,507,0,0.01,neuron_lmc,5.0,0.05204403250302645
46,507,0,0.01,neuron_lmc,6.0,0.048254218710329796
47,507,0,0.01,neuron_lmc,7.0,0.0579968427030537
48,507,0,0.01,neuron_lmc,8.0,0.042746143150427324
49,507,0,0.01,neuron_lmc,9.0,0.04013547012465787
50,507,0,0.01,neuron_lmc,10.0,0.04552559957390763
51,507,0,0.01,neuron_lmc,11.0,0.04726278907291857
52,507,0,0.01,losses,,"[0.5293001137673855, 0.03366631869226694, 0.022420545127242803, 0.018835964873433114, 0.017019549626857044, 0.015851252852007745, 0.014977671913802624, 0.014189536301419139, 0.013481786390766502, 0.012898255661129952, 0.012383105736225843, 0.01193695729598403, 0.011569303944706916, 0.011266768649220467, 0.011019218857400119, 0.010818883869796991, 0.010658857594244182, 0.01052324505057186, 0.010411107121035457, 0.010318069839850069, 0.010244157230481506, 0.010180795672349632, 0.010128947058692574, 0.01008678948506713, 0.010050368118099869, 0.010018932311795651, 0.009994409033097326, 0.009975169887766241, 0.009959639804437757, 0.009946912075392902, 0.009937626291066409, 0.009931102874688805, 0.009925841791555286, 0.00992265114095062, 0.009919910188764335, 0.009919593185186386, 0.009919032785110176, 0.009919144585728646, 0.009922918165102601, 0.009922409155406058, 0.009925741837359964, 0.00992877058684826, 0.009932677973993123, 0.0099348931806162, 0.009940353808924557, 0.009944302793592215, 0.009944983590394259, 0.009950510612688958, 0.009951150491833687, 0.009952528118155897, 0.009953014384955168, 0.009952604020945728, 0.009950342536903918, 0.009950115527026356, 0.009946984965354204, 0.00994680284988135, 0.009944791677407921, 0.009944528983905911, 0.009944067080505192, 0.009943759422749282]"
