,ca_id,seed,noise,type,layer,value
0,507,0,0.02,ca_entropy,,0.5257682664407954
1,507,0,0.02,ca_lmc,,0.4651014629919231
2,507,0,0.02,model_entropy,,8.799351103029977
3,507,0,0.02,layer_entropy,0.0,8.79856952502345
4,507,0,0.02,layer_entropy,1.0,8.79856952502345
5,507,0,0.02,layer_entropy,2.0,8.79856952502345
6,507,0,0.02,layer_entropy,3.0,8.79856952502345
7,507,0,0.02,layer_entropy,4.0,8.79856952502345
8,507,0,0.02,layer_entropy,5.0,8.787625915645746
9,507,0,0.02,layer_entropy,6.0,8.772350063540799
10,507,0,0.02,layer_entropy,7.0,8.755069188698725
11,507,0,0.02,layer_entropy,8.0,8.789568110429318
12,507,0,0.02,layer_entropy,9.0,8.778407493652274
13,507,0,0.02,layer_entropy,10.0,8.78238365591893
14,507,0,0.02,layer_entropy,11.0,8.737572191746196
15,507,0,0.02,neuron_entropy,0.0,0.7084416018350262
16,507,0,0.02,neuron_entropy,1.0,0.6155253968637322
17,507,0,0.02,neuron_entropy,2.0,0.6336374584855968
18,507,0,0.02,neuron_entropy,3.0,0.5476495304734649
19,507,0,0.02,neuron_entropy,4.0,0.44523330281270757
20,507,0,0.02,neuron_entropy,5.0,0.3066092899683065
21,507,0,0.02,neuron_entropy,6.0,0.33054741276539157
22,507,0,0.02,neuron_entropy,7.0,0.31359854666081577
23,507,0,0.02,neuron_entropy,8.0,0.3108952860929984
24,507,0,0.02,neuron_entropy,9.0,0.26795380179609707
25,507,0,0.02,neuron_entropy,10.0,0.27533282336104825
26,507,0,0.02,neuron_entropy,11.0,0.25354433664409254
27,507,0,0.02,model_lmc,,0.0232321612854946
28,507,0,0.02,layer_lmc,0.0,0.023233722652015048
29,507,0,0.02,layer_lmc,1.0,0.023233722652015048
30,507,0,0.02,layer_lmc,2.0,0.023233722652015048
31,507,0,0.02,layer_lmc,3.0,0.023233722652015048
32,507,0,0.02,layer_lmc,4.0,0.023233722652015048
33,507,0,0.02,layer_lmc,5.0,0.023342131338434016
34,507,0,0.02,layer_lmc,6.0,0.023657931577611598
35,507,0,0.02,layer_lmc,7.0,0.024876708311950987
36,507,0,0.02,layer_lmc,8.0,0.023429692494363157
37,507,0,0.02,layer_lmc,9.0,0.023533488499912405
38,507,0,0.02,layer_lmc,10.0,0.02345170885619602
39,507,0,0.02,layer_lmc,11.0,0.02443789722379014
40,507,0,0.02,neuron_lmc,0.0,0.08708286640532188
41,507,0,0.02,neuron_lmc,1.0,0.08210417673179114
42,507,0,0.02,neuron_lmc,2.0,0.06684140510130483
43,507,0,0.02,neuron_lmc,3.0,0.0780220329551142
44,507,0,0.02,neuron_lmc,4.0,0.054772630034604
45,507,0,0.02,neuron_lmc,5.0,0.053719160870831076
46,507,0,0.02,neuron_lmc,6.0,0.047246704128943724
47,507,0,0.02,neuron_lmc,7.0,0.055611904057765164
48,507,0,0.02,neuron_lmc,8.0,0.042187171887428807
49,507,0,0.02,neuron_lmc,9.0,0.04144776610333434
50,507,0,0.02,neuron_lmc,10.0,0.044356460306738274
51,507,0,0.02,neuron_lmc,11.0,0.04998040466876736
52,507,0,0.02,losses,,"[0.5410447669774294, 0.043365714512765406, 0.03220736112445593, 0.02848469592630863, 0.026518675815314054, 0.02533552672713995, 0.02444491859525442, 0.023690312281250955, 0.023025394547730685, 0.022434579730033873, 0.021945612616837026, 0.021530443783849478, 0.021175267715007065, 0.020868481937795877, 0.020611132979393005, 0.020410213321447372, 0.020251826476305725, 0.020128398910164835, 0.02002985544502735, 0.01994918830692768, 0.0198826820589602, 0.01982715604826808, 0.019777933359146117, 0.019738386925309895, 0.01970792280510068, 0.01968176173046231, 0.019659000616520643, 0.019645315855741502, 0.019633145611733197, 0.01962245922535658, 0.019615928921848536, 0.019613213893026112, 0.019611331913620234, 0.01961056686937809, 0.019611920099705457, 0.01961141074076295, 0.019611173775047064, 0.019610969312489034, 0.019609672855585812, 0.01960864629596472, 0.01961121903732419, 0.019608249086886645, 0.01960995193570852, 0.01960557183250785, 0.019609662257134914, 0.01960728656500578, 0.019606821928173302, 0.019606004413217307, 0.01960749948397279, 0.019609414413571356, 0.019611406065523626, 0.01961726451292634, 0.01961886839941144, 0.019622897915542125, 0.01962830387055874, 0.01963241083547473, 0.01963113244622946, 0.019637519661337137, 0.01964219771325588, 0.019643034283071757]"
