,ca_id,seed,noise,type,layer,value
0,4,0,0.01,ca_entropy,,0.6505187800985665
1,4,0,0.01,ca_lmc,,0.5542849609296272
2,4,0,0.01,model_entropy,,8.79856952502345
3,4,0,0.01,layer_entropy,0.0,8.79856952502345
4,4,0,0.01,layer_entropy,1.0,8.79856952502345
5,4,0,0.01,layer_entropy,2.0,8.79856952502345
6,4,0,0.01,layer_entropy,3.0,8.79856952502345
7,4,0,0.01,layer_entropy,4.0,8.79856952502345
8,4,0,0.01,layer_entropy,5.0,8.783327265296634
9,4,0,0.01,layer_entropy,6.0,8.793694356861087
10,4,0,0.01,layer_entropy,7.0,8.781124501051616
11,4,0,0.01,layer_entropy,8.0,8.75119778681441
12,4,0,0.01,layer_entropy,9.0,8.779325850702504
13,4,0,0.01,layer_entropy,10.0,8.719061181568195
14,4,0,0.01,layer_entropy,11.0,8.732531622325457
15,4,0,0.01,neuron_entropy,0.0,0.709819375812044
16,4,0,0.01,neuron_entropy,1.0,0.6241484534444056
17,4,0,0.01,neuron_entropy,2.0,0.6284337676570743
18,4,0,0.01,neuron_entropy,3.0,0.5399297691857994
19,4,0,0.01,neuron_entropy,4.0,0.4405577642598681
20,4,0,0.01,neuron_entropy,5.0,0.2750314468075089
21,4,0,0.01,neuron_entropy,6.0,0.3314122409554777
22,4,0,0.01,neuron_entropy,7.0,0.3135490368700963
23,4,0,0.01,neuron_entropy,8.0,0.26006187496016253
24,4,0,0.01,neuron_entropy,9.0,0.28058763685023186
25,4,0,0.01,neuron_entropy,10.0,0.29586753970064344
26,4,0,0.01,neuron_entropy,11.0,0.2653836644069857
27,4,0,0.01,model_lmc,,0.023233722652015048
28,4,0,0.01,layer_lmc,0.0,0.023233722652015048
29,4,0,0.01,layer_lmc,1.0,0.023233722652015048
30,4,0,0.01,layer_lmc,2.0,0.023233722652015048
31,4,0,0.01,layer_lmc,3.0,0.023233722652015048
32,4,0,0.01,layer_lmc,4.0,0.023233722652015048
33,4,0,0.01,layer_lmc,5.0,0.02342678069040837
34,4,0,0.01,layer_lmc,6.0,0.02335825063541227
35,4,0,0.01,layer_lmc,7.0,0.023516949054378865
36,4,0,0.01,layer_lmc,8.0,0.024093141406823428
37,4,0,0.01,layer_lmc,9.0,0.02363559131368815
38,4,0,0.01,layer_lmc,10.0,0.025625865753952776
39,4,0,0.01,layer_lmc,11.0,0.02503098322055633
40,4,0,0.01,neuron_lmc,0.0,0.08604618860740544
41,4,0,0.01,neuron_lmc,1.0,0.07804514609852244
42,4,0,0.01,neuron_lmc,2.0,0.07095060522186133
43,4,0,0.01,neuron_lmc,3.0,0.0740989273051038
44,4,0,0.01,neuron_lmc,4.0,0.060658615637526926
45,4,0,0.01,neuron_lmc,5.0,0.04859897774541765
46,4,0,0.01,neuron_lmc,6.0,0.05410941384201389
47,4,0,0.01,neuron_lmc,7.0,0.053518809744113424
48,4,0,0.01,neuron_lmc,8.0,0.043730520199376045
49,4,0,0.01,neuron_lmc,9.0,0.052967069496331974
50,4,0,0.01,neuron_lmc,10.0,0.035841324043094015
51,4,0,0.01,neuron_lmc,11.0,0.044776846377995366
52,4,0,0.01,losses,,"[0.1968034690245986, 0.025464069414883852, 0.02060248825699091, 0.01827158795669675, 0.016749805361032485, 0.015724591221660377, 0.014890076965093613, 0.014133000718429685, 0.013361241724342108, 0.012675476456061006, 0.01212540987879038, 0.0116951559856534, 0.01134670532308519, 0.011065853368490934, 0.010838296581059694, 0.01064842326566577, 0.010494820605963469, 0.010358772678300739, 0.01024819833226502, 0.010163441766053438, 0.010099559351801872, 0.01005032991990447, 0.010012369761243462, 0.009984852755442261, 0.009966568052768708, 0.009952982477843762, 0.009943161886185407, 0.009936024574562908, 0.009930504392832518, 0.009926513144746423, 0.009926051115617156, 0.009924618666991592, 0.009925608290359378, 0.009929433381184936, 0.009933364149183034, 0.009935160847380758, 0.009941365951672197, 0.009944467265158892, 0.009949896587058901, 0.009951617140322923, 0.009956500250846148, 0.009958862839266659, 0.009962690761312842, 0.00996445688419044, 0.00996684841811657, 0.0099645372107625, 0.009964541494846345, 0.009962359312921762, 0.009960807757452131, 0.009957076711580158, 0.00995553976856172, 0.009955355487763882, 0.009950357684865595, 0.009948055222630502, 0.0099454443808645, 0.009943595817312599, 0.009943834589794278, 0.00994305663742125, 0.009941224083304405, 0.009941112445667387]"
